iyp_org_name,lei,lei_legal_name,lei_countries,entity_status,registration_status,match_method,confidence,matched_name,hint,iyp_countries,peeringdb_org_ids,caida_org_ids,iyp_websites,iyp_n_as
"AT&T Enterprises, LLC",254900BOOH55HZ1NF803,"AT&T Enterprises, LLC",US,ACTIVE,ISSUED,legal_exact,1.0,at and t enterprises llc,,US,,AEL-360-ARIN,,123
Apogee Telecom Inc.,5493004A58A6J83OF885,"APOGEE TELECOM, INC.",US,ACTIVE,LAPSED,legal_exact,1.0,apogee telecom inc,,US,,APOG-ARIN,,68
Microsoft Corporation,INR2EJN1ERAN0W5ZP974,MICROSOFT CORPORATION,US,ACTIVE,ISSUED,legal_exact,1.0,microsoft corporation,,US,8896,MSFT-ARIN,,64
"Vercara, LLC",254900GFIR7U1E9IO007,"VERCARA, LLC",US,ACTIVE,LAPSED,legal_exact,1.0,vercara llc,,US,,ORG-PA71-AP-APNIC;SSL-1134-ARIN,,64
HP Inc.,WHKXQACZ14C5XRO8LW03,HP INC.,US,ACTIVE,ISSUED,legal_exact,1.0,hp inc,,US,33868,HPINC-ARIN;HPINC-Z-ARIN,,63
"Comcast Cable Communications, LLC",549300T2R1ZBGV1UVE31,"COMCAST CABLE COMMUNICATIONS, LLC",US,ACTIVE,ISSUED,legal_exact,1.0,comcast cable communications llc,,US,1061,CCCS-ARIN,,56
Oracle Corporation,1Z4GXXU7ZHVWFCD8TV52,ORACLE CORPORATION,US,ACTIVE,ISSUED,legal_exact,1.0,oracle corporation,,US,10730,ORACLE-4-ARIN;ORACLE-4-Z-ARIN;ORG-OC1-AP-APNIC,,55
VOCUS PTY LTD,549300KWP0QLMVT5UD71,VOCUS PTY LTD,AU,ACTIVE,ISSUED,legal_exact,1.0,vocus pty ltd,,AU,,ORG-VPL1-AP-APNIC,,53
"Equinix, Inc.",549300EVUN2BTLJ3GT74,"EQUINIX, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,equinix inc,,US,2,EQUINIX-ARIN,http://www.equinix.com,49
"GoDaddy.com, LLC",54930014QNWWH8OAC930,"GODADDY.COM, LLC",US,ACTIVE,ISSUED,legal_exact,1.0,godaddy com llc,,US,,GODAD-ARIN,,43
DE-CIX Management GmbH,39120050QRC3PQ76LC82,DE-CIX Management GmbH,DE,ACTIVE,LAPSED,legal_exact,1.0,de cix management gmbh,,DE,,ORG-DTGI1-RIPE,,40
TEGNA Inc.,549300YC5EDBGX85AO10,TEGNA INC.,US,ACTIVE,LAPSED,legal_exact,1.0,tegna inc,,US,,TEGNA-ARIN,,40
"JAB Wireless, INC.",549300R4BES1TY0WZK46,"JAB Wireless, Inc",US,ACTIVE,LAPSED,legal_exact,1.0,jab wireless inc,,US,,JABWI-ARIN,,35
One New Zealand Group Limited,213800FEF7L8M4ESA972,ONE NEW ZEALAND GROUP LIMITED,NZ,ACTIVE,ISSUED,legal_exact,1.0,one new zealand group limited,,NZ,35295,ORG-VNZL1-AP-APNIC,,35
Charter Communications Inc,0J0XRGZE3PBRFEZ7MV65,"CHARTER COMMUNICATIONS, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,charter communications inc,,US,,CC-3517-ARIN,,32
Citigroup Inc.,6SHGI4ZSSLCXXQSBB395,CITIGROUP INC.,US,ACTIVE,ISSUED,legal_exact,1.0,citigroup inc,,US,37077,CITIGR-5-ARIN;ORG-CI23-AP-APNIC,,31
"Akamai Technologies, Inc.",OC1LZNN2LF5WTJ5RIL89,"AKAMAI TECHNOLOGIES, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,akamai technologies inc,,US,,AKAMAI-ARIN;ORG-ATI1-AP-APNIC,,30
Google LLC,7ZW8QJWVPR4P1J1KQY45,GOOGLE LLC,US,ACTIVE,ISSUED,legal_exact,1.0,google llc,,US,574,GL-946-ARIN;GOGL-ARIN;GOOGL-1-ARIN;GOOGL-2-ARIN;GOOGL-5-ARIN;GOOGL-9-ARIN,http://www.google.com,30
"NTT America, Inc.",213800HPZO68KAP66E66,"NTT AMERICA, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,ntt america inc,,US,,NTTAM-1-ARIN,,30
"SMART CITY NETWORKS, LIMITED PARTNERSHIP",549300Y8QFTJEVCD7V06,"Smart City Networks, Limited Partnership",US,ACTIVE,LAPSED,legal_exact,1.0,smart city networks limited partnership,,US,,SCNC-1-ARIN,,27
Open Text Corporation,549300HP7ONDQODZJV16,Open Text Corporation,CA,ACTIVE,ISSUED,legal_exact,1.0,open text corporation,active_only,CA,,OTC-68-ARIN,,26
Internet Vikings International AB,6367000NSHZC1QDHQG29,Internet Vikings International AB,SE,ACTIVE,LAPSED,legal_exact,1.0,internet vikings international ab,,SE,23113,ORG-EA45-RIPE,https://internetvikings.com/,25
Kirkland & Ellis LLP,549300DO60QU86FS5U43,KIRKLAND & ELLIS LLP,US,ACTIVE,ISSUED,legal_exact,1.0,kirkland and ellis llp,,US,,KIRKLA-ARIN,,24
KPN B.V.,724500GZA9TMCLXVCY52,KPN B.V.,NL,ACTIVE,ISSUED,legal_exact,1.0,kpn b v,,NL,12005,ORG-KOVN1-RIPE;ORG-WAPI1-RIPE,,22
Rogers Communications Canada Inc.,54930028UNC8D5FSDX98,Rogers Communications Canada Inc.,CA,ACTIVE,ISSUED,legal_exact,1.0,rogers communications canada inc,,CA,3188,RCC-182-ARIN;RCC-183-ARIN;RCC-190-ARIN;RCC-191-ARIN;RCC-193-ARIN;RCC-194-ARIN,,22
"TierPoint, LLC",549300L53HPEWRGN5U22,"TIERPOINT, LLC",US,ACTIVE,LAPSED,legal_exact,1.0,tierpoint llc,,US,882,TL-801-ARIN,http://www.tierpoint.com,22
"Electronic Arts, Inc.",549300O7A67PUEYKDL45,ELECTRONIC ARTS INC.,US,ACTIVE,ISSUED,legal_exact,1.0,electronic arts inc,,US,,ELECTR-60-ARIN,,21
HEWLETT PACKARD ENTERPRISE COMPANY,549300BX44RGX6ANDV88,HEWLETT PACKARD ENTERPRISE COMPANY,US,ACTIVE,ISSUED,legal_exact,1.0,hewlett packard enterprise company,,US,,HPE-15-ARIN,,21
Robinsons Bank Corporation,549300MW9OVMRJKCB072,ROBINSONS BANK CORPORATION,PH,ACTIVE,LAPSED,legal_exact,1.0,robinsons bank corporation,,PH,,ORG-RBC1-AP-APNIC,,21
SAP America Inc.,529900L0904HL3WPZF11,"SAP AMERICA, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,sap america inc,,US,33093,SAPAME-ARIN,,21
"Fidelity National Information Services, Inc.",6WQI0GK1PRFVBA061U48,"FIDELITY NATIONAL INFORMATION SERVICES, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,fidelity national information services inc,,US,35165,FNIS-6-ARIN,,20
Host Europe GmbH,87550006OP9JXDIVFT87,Host Europe GmbH,DE,ACTIVE,LAPSED,legal_exact,1.0,host europe gmbh,,DE,1442,ORG-OG1-RIPE,https://www.hosteurope.de/,20
JPMorgan Chase & Co.,8I5DZWZKVSZI1NUHU748,JPMORGAN CHASE & CO.,US,ACTIVE,ISSUED,legal_exact,1.0,jpmorgan chase and co,,US,18701,JMC-39-ARIN,https://www.jpmorganchase.com,20
SAP SE,529900D6BF99LW9R2E68,SAP SE,DE,ACTIVE,ISSUED,legal_exact,1.0,sap se,,DE,16751,ORG-SS1113-RIPE;ORG-SW1-RIPE,https://www.sap.com,20
Xplore Inc.,254900V3NB5MGOZS4O08,Xplore Inc.,CA,ACTIVE,LAPSED,legal_exact,1.0,xplore inc,,CA,4405,BARRE-2-ARIN,https://xplore.ca,20
AT&T Global Network Services Nederland B.V.,549300RIR5TG5P19TW73,AT&T GLOBAL NETWORK SERVICES NEDERLAND B.V.,NL;US,ACTIVE,ISSUED,legal_exact,1.0,at and t global network services nederland b v,,NL,33102,ORG-AGNS1-RIPE;ORG-AIS3-RIPE,,19
Free Technologies Excom S.L.,9598003PV3C2NK3PAP61,FREE TECHNOLOGIES EXCOM S.L.,ES,ACTIVE,ISSUED,legal_exact,1.0,free technologies excom s l,,ES,16246,ORG-FTES1-RIPE,https://www.excom.es,18
Global Payments Inc.,549300NOMHGVQBX6S778,GLOBAL PAYMENTS INC.,US,ACTIVE,ISSUED,legal_exact,1.0,global payments inc,,US,,GP-617-ARIN,,17
TELUS Communications Inc.,549300WFVMFT6QPB8H82,TELUS COMMUNICATIONS INC.,CA,ACTIVE,LAPSED,legal_exact,1.0,telus communications inc,,CA,,TACE-ARIN,,17
Electronic Arts Limited,CMZ7GG81FU1ER4OBYJ54,ELECTRONIC ARTS LIMITED,GB;US,ACTIVE,LAPSED,legal_exact,1.0,electronic arts limited,,GB,,ORG-EAL9-RIPE,,16
GTT Communications Inc.,549300ETSL7K1ZX05H30,"GTT Communications, Inc.",US,ACTIVE,LAPSED,legal_exact,1.0,gtt communications inc,,US,,ORG-GCI2-RIPE,,16
"Ntirety, Inc.",5493000HBFUZ8TQY6257,"HDC/HW ENTERPRISE, LLC",US,ACTIVE,LAPSED,legal_exact,1.0,hdc hw enterprise llc,whois_name,US,,WCP32-ARIN,,16
"O2 Czech Republic, a.s.",3157004ICDH3MRKW7534,O2 Czech Republic a.s.,CZ,ACTIVE,ISSUED,legal_exact,1.0,o2 czech republic a s,,CZ,,ORG-STAN1-RIPE,,16
"Quality Technology Services, LLC",254900MTNI62HBBSMZ95,"QUALITY TECHNOLOGY SERVICES, LLC",US,ACTIVE,ISSUED,legal_exact,1.0,quality technology services llc,,US,,QTS-9-ARIN,,16
Telstra Limited,894500U4L7JONMULJE04,TELSTRA LIMITED,AU,ACTIVE,ISSUED,legal_exact,1.0,telstra limited,,AU,,ORG-TC6-AP-APNIC,,16
Vmware International Unlimited Company,549300QDZDZP3SLIME17,VMWARE INTERNATIONAL UNLIMITED COMPANY,IE,ACTIVE,ISSUED,legal_exact,1.0,vmware international unlimited company,,IE,,ORG-VIL13-RIPE,,16
"Wireless Maritime Services, LLC",254900QKO1GQPV8ZEX85,"WIRELESS MARITIME SERVICES, LLC",US,ACTIVE,ISSUED,legal_exact,1.0,wireless maritime services llc,,US,,WMSL-10-ARIN,,16
"Charles Schwab & Co., Inc.",549300ZP8XN77GK5BS04,"CHARLES SCHWAB & CO., INC.",US,ACTIVE,ISSUED,legal_exact,1.0,charles schwab and co inc,,US,,CSC-52-ARIN;CSC-52-Z-ARIN,,15
"Dell, Inc.",3E70L4WYANTIWWIPHC81,DELL INC.,US,ACTIVE,ISSUED,legal_exact,1.0,dell inc,,US,20899,DCC-25-ARIN,,15
"T-Mobile USA, Inc.",549300V2JRLO5DIFGE82,"T-MOBILE USA, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,t mobile usa inc,,US,38140,TMOBI-ARIN,,15
The Northern Trust Company,6PTKHDJ8HDUF78PFWH30,The Northern Trust Company,US,ACTIVE,ISSUED,legal_exact,1.0,northern trust company,,US,,NORTHE-18-ARIN,,15
"ViaSat,Inc.",UFC8NYMNFSYIHNSM2I38,"ViaSat, Inc.",US,ACTIVE,LAPSED,legal_exact,1.0,viasat inc,,US,,VIASA-16-ARIN,,15
British Telecommunications Limited,549300OWFMSO9NYV4H90,BRITISH TELECOMMUNICATIONS LIMITED,GB,ACTIVE,ISSUED,legal_exact,1.0,british telecommunications limited,,GB,,ORG-BPIS1-RIPE;ORG-BT4-RIPE;ORG-CNS3-RIPE,,14
"Nasdaq, Inc.",549300L8X1Q78ERXFD06,"NASDAQ, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,nasdaq inc,,US,,NOG-5-ARIN,,14
Retelit Digital Services S.p.A.,815600D2235FF5850784,RETELIT DIGITAL SERVICES S.P.A.,IT,ACTIVE,ISSUED,legal_exact,1.0,retelit digital services s p a,,IT,,ORG-ES264-RIPE;ORG-TM2-RIPE,,14
"Trans Union, LLC",X8NPN6PWJOM1QCTYFV34,TRANS UNION LLC,US,ACTIVE,ISSUED,legal_exact,1.0,trans union llc,,US,,TUL-7-ARIN,,14
The Reynolds and Reynolds Company,549300ACTHMHNRI4I407,The Reynolds and Reynolds Company,US,ACTIVE,LAPSED,legal_exact,1.0,reynolds and reynolds company,,US,,THEREY-ARIN,,13
WideOpenWest Finance LLC,54930045JY28O5B5WE54,"WIDEOPENWEST FINANCE, LLC",US,ACTIVE,LAPSED,legal_exact,1.0,wideopenwest finance llc,,US,,WFL-17-ARIN;WOPW-ARIN,,13
China Mobile International Limited,984500CB2ED69440C050,CHINA MOBILE INTERNATIONAL LIMITED,HK,ACTIVE,ISSUED,legal_exact,1.0,china mobile international limited,,HK,5459,ORG-CMIL1-AP-APNIC,https://www.cmi.chinamobile.com,12
Cox Communications Inc.,5493001NEDZNIFRP2R92,"COX COMMUNICATIONS, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,cox communications inc,,US,,CXA-ARIN;CXA-Z-ARIN,,12
CyrusOne LLC,254900458UZ2X7BPX303,CYRUSONE LLC,US,ACTIVE,ISSUED,legal_exact,1.0,cyrusone llc,,US,,CL-260-ARIN,,12
Deutsche Telekom AG,549300V9QSIG4WX4GJ96,DEUTSCHE TELEKOM AG,DE,ACTIVE,ISSUED,legal_exact,1.0,deutsche telekom ag,,DE,267,ORG-DTA2-RIPE,https://wholesale.telekom.com,12
Royal Bank of Canada,ES7IP3U3RHIGC71XBU11,Royal Bank of Canada,CA,ACTIVE,ISSUED,legal_exact,1.0,royal bank of canada,,CA,31941,RBC-1-ARIN,,12
Six Degrees Technology Group Limited,21380018A78AOCRAOK26,SIX DEGREES TECHNOLOGY GROUP LIMITED,GB,ACTIVE,LAPSED,legal_exact,1.0,six degrees technology group limited,,GB,,ORG-UL6-RIPE,,12
"Amazon.com, Inc.",ZXTILKJKG63JELOEG630,"AMAZON.COM, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,amazon com inc,,US,1520,AMAZO-139-ARIN;AMAZO-4-ARIN;AMAZON-4-ARIN;ORG-AI2-AP-APNIC,,11
Beanfield Technologies Inc.,254900VJBCFR9CJI8C82,BEANFIELD TECHNOLOGIES INC.,CA,ACTIVE,LAPSED,legal_exact,1.0,beanfield technologies inc,,CA,,BNFD-ARIN,,11
"CISCO SYSTEMS, INC.",549300LKFJ962MZ46593,"CISCO SYSTEMS, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,cisco systems inc,active_only,US,,CS-2831-ARIN,,11
"EXPEDIA, INC",CI7MUJI4USF3V0NJ1H64,"EXPEDIA, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,expedia inc,,US,,EXPED-18-ARIN,,11
HGC Global Communications Limited,549300ERONW0TPCXAE56,HGC GLOBAL COMMUNICATIONS LIMITED,HK,ACTIVE,ISSUED,legal_exact,1.0,hgc global communications limited,,HK,7631,ORG-HGCL1-AP-APNIC;ORG-HGCL2-AP-APNIC,,11
"Intercontinental Exchange, Inc.",5493000F4ZO33MV32P92,"INTERCONTINENTAL EXCHANGE, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,intercontinental exchange inc,,US,,IE-217-ARIN,,11
"QTS Realty Trust, Inc.",5493006PA4CJK4OG2J54,"QTS REALTY TRUST, INC.",US,INACTIVE,RETIRED,legal_exact,1.0,qts realty trust inc,,US,13077,,http://www.qtsdatacenters.com,11
The Bank of New York Mellon Corporation,WFLLPEPC7FZXENRZV188,THE BANK OF NEW YORK MELLON CORPORATION,US,ACTIVE,ISSUED,legal_exact,1.0,bank of new york mellon corporation,,US,,THEBA-32-ARIN,,11
Thomson Reuters U.S. LLC,549300FOBWXV10TAOG25,THOMSON REUTERS U.S. LLC,US,ACTIVE,ISSUED,legal_exact,1.0,thomson reuters u s llc,,US,21083,TRU-11-ARIN,http://www.refinitiv.com,11
"8x8, Inc.",254900XWSOC5U1BRW939,"8X8, INC.",US,ACTIVE,LAPSED,legal_exact,1.0,8x8 inc,,US,16836,8X8INC-ARIN;ORG-IA13-AP-APNIC,http://www.8x8.com,10
"Afilias, Inc.",5493001AXUQKRCO5HU67,"AFILIAS, INC.",US,ACTIVE,LAPSED,legal_exact,1.0,afilias inc,,US,,AFILI-2-ARIN,,10
Broadband Hosting B.V.,724500VXWNPXOKEFGJ67,Broadband Hosting B.V.,NL,ACTIVE,ISSUED,legal_exact,1.0,broadband hosting b v,,NL,1060,ORG-OPB1-RIPE,,10
Capital One Financial Corporation,ZUE8T73ROZOF6FLBAR73,CAPITAL ONE FINANCIAL CORPORATION,US,ACTIVE,ISSUED,legal_exact,1.0,capital one financial corporation,,US,,CAPITA-120-ARIN,,10
DATACOM SYSTEMS (AU) PTY LTD,2549009D90EGRD1RSG49,Datacom Systems (AU) Pty Ltd,AU;NZ,ACTIVE,LAPSED,legal_exact,1.0,datacom systems pty ltd,,AU,,ORG-DSPL6-AP-APNIC,,10
DIGI ROMANIA S.A.,3157008PTGOXBWZDVF10,Digi Romania S.A.,RO,ACTIVE,ISSUED,legal_exact,1.0,digi romania s a,,RO,,ORG-RA18-RIPE,,10
"Inteliquent, inc.",549300K8G7V0F3VFUL90,"INTELIQUENT, INC.",US,ACTIVE,LAPSED,legal_exact,1.0,inteliquent inc,,US,,NTAJC-ARIN,,10
Morgan Stanley,IGJSJL3JD5P30I6NJZ34,MORGAN STANLEY,US,ACTIVE,ISSUED,legal_exact,1.0,morgan stanley,,US,,MORGA-55-ARIN,,10
SULLCROM,549300Q2G4TVDWGUCZ04,SULLIVAN & CROMWELL LLP,US,ACTIVE,LAPSED,legal_exact,1.0,sullivan and cromwell llp,alt_name,US,40699,SCL-461-ARIN,https://www.sullcrom.com/,10
Servers Australia Pty. Ltd,549300Z9T0YRLGU7B083,SERVERS AUSTRALIA PTY. LTD.,AU,ACTIVE,LAPSED,legal_exact,1.0,servers australia pty ltd,,AU,,ORG-SAPL7-AP-APNIC,,10
Uniti Fiber Holdings Inc.,549300GM4ENWVC5GBF11,UNITI FIBER HOLDINGS INC.,US,ACTIVE,ISSUED,legal_exact,1.0,uniti fiber holdings inc,,US,,UFH-4-ARIN,,10
WorldStream B.V.,724500B3PHWOUXC1SY14,Worldstream B.V.,NL,ACTIVE,ISSUED,legal_exact,1.0,worldstream b v,,NL,,ORG-WA106-RIPE,,10
Advania Sverige AB,549300RCK7IWKX0A3711,Advania Sverige AB,SE,ACTIVE,ISSUED,legal_exact,1.0,advania sverige ab,,SE,,ORG-AA1579-RIPE,,9
Anexia Cloud Solutions GmbH,52990054N51VI0BM3L14,Anexia Cloud Solutions GmbH,AT,ACTIVE,ISSUED,legal_exact,1.0,anexia cloud solutions gmbh,,AT,,ORG-AIG10-RIPE,,9
Bharti Airtel Limited,335800KQ1FPKOQ84OR26,BHARTI AIRTEL LIMITED,IN,ACTIVE,ISSUED,legal_exact,1.0,bharti airtel limited,,IN,1824,ORG-BAL1-AP-APNIC;ORG-BAL2-AP-APNIC;ORG-BAL3-AP-APNIC,,9
BlackBerry Limited,549300HJD8NEGT71RF07,BlackBerry Limited,CA,ACTIVE,ISSUED,legal_exact,1.0,blackberry limited,,CA,,RIM-ARIN,,9
COLT Technology Services Group Limited,213800PIMH7Q7M27DB82,COLT TECHNOLOGY SERVICES GROUP LIMITED,GB,ACTIVE,LAPSED,legal_exact,1.0,colt technology services group limited,,GB,,ORG-CI9-RIPE,,9
De-cix Interwire Internet Services Private Limited,25490069TUT7K93RJX87,DE-CIX INTERWIRE INTERNET SERVICES PRIVATE LIMITED,IN,ACTIVE,LAPSED,legal_exact,1.0,de cix interwire internet services private limited,,IN,,@aut-153759-APNIC,,9
Guggenheim Services LLC,254900LB8V9IVKUR5947,"GUGGENHEIM SERVICES, LLC",US,ACTIVE,ISSUED,legal_exact,1.0,guggenheim services llc,,US,,GUGGE-1-ARIN,,9
Intuit Inc.,VI90HBPH7XSFMB9E4M29,INTUIT INC.,US,ACTIVE,ISSUED,legal_exact,1.0,intuit inc,,US,17413,INTUI-73-ARIN;INTUIT-ARIN,,9
"Invesco Group Services, Inc.",5493003T405SO6CIB771,"INVESCO GROUP SERVICES, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,invesco group services inc,,US,16664,INVESC-1-ARIN;ORG-IMGI1-AP-APNIC,http://www.invesco.com,9
Marlink AS,529900GO7EM6WPI5FT22,MARLINK AS,NO,ACTIVE,ISSUED,legal_exact,1.0,marlink as,,NO,22137,ORG-MA61-AP-APNIC;ORG-MEA38-RIPE,https://marlink.com,9
Mozilla Corporation,549300018LTJV5QRVC46,Mozilla Corporation,US,ACTIVE,ISSUED,legal_exact,1.0,mozilla corporation,,US,,MOZIL-1-ARIN;ORG-MC136-RIPE,,9
NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INSTYTUT BADAWCZY,259400GPN6G5NELJ6975,NAUKOWA I AKADEMICKA SIEĆ KOMPUTEROWA - PAŃSTWOWY INSTYTUT BADAWCZY,PL,ACTIVE,ISSUED,legal_exact,1.0,naukowa i akademicka siec komputerowa panstwowy instytut badawczy,,PL,,ORG-NRAA1-RIPE,,9
Netnod AB,6367001KQ8FX0PE6E785,Netnod AB,SE,ACTIVE,ISSUED,legal_exact,1.0,netnod ab,,SE,2417,ORG-NIE1-RIPE,https://netnod.se/,9
Nokia of America Corporation,529900BF8WCYOHYGIJ13,NOKIA OF AMERICA CORPORATION,US,ACTIVE,ISSUED,legal_exact,1.0,nokia of america corporation,,US,30677,NAC-178-ARIN,,9
Odido Netherlands B.V.,7245007JHH65QX14QE52,Odido Netherlands B.V.,NL,ACTIVE,ISSUED,legal_exact,1.0,odido netherlands b v,,NL,,ORG-PJB2-RIPE;ORG-QNB1-RIPE;ORG-TNB2-RIPE,,9
PT Kawan Lama Sejahtera,254900BF3IG4IKUL3P23,PT. Kawan Lama Sejahtera,ID,ACTIVE,LAPSED,legal_exact,1.0,pt kawan lama sejahtera,,ID,,@family-21394,,9
Parsons Corporation,549300ZXH0VRBSEPX752,PARSONS CORPORATION,US,ACTIVE,ISSUED,legal_exact,1.0,parsons corporation,,US,,PC-2238-ARIN;PCIP-ARIN,,9
"PayPal, Inc.",LBQ3CAGQB6M55WHL3G85,"PAYPAL, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,paypal inc,,US,,PAYPAL-ARIN,,9
Starhub Ltd.,254900993L0UTJFD3A68,STARHUB LTD.,SG,ACTIVE,ISSUED,legal_exact,1.0,starhub ltd,,SG,,ORG-SIPL5-AP-APNIC,,9
Sunrise GmbH,2138008J8IGGR6AGSX51,SUNRISE GMBH,CH,ACTIVE,ISSUED,legal_exact,1.0,sunrise gmbh,,CH,166,ORG-CTP1-RIPE;ORG-STSA1-RIPE,http://www.sunrise.ch,9
"Transaction Network Services, Inc.",549300IMQVRYKPC0TQ90,"TRANSACTION NETWORK SERVICES, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,transaction network services inc,,US,31645,TNS-8-ARIN,https://tnsi.com/,9
Walmart Inc.,Y87794H0US1R65VBXU25,WALMART INC.,US,ACTIVE,ISSUED,legal_exact,1.0,walmart inc,,US,,WALMAR-ARIN,,9
Aruba S.p.A.,81560069E326FF3BE121,ARUBA S.P.A.,IT,ACTIVE,ISSUED,legal_exact,1.0,aruba s p a,,IT,,ORG-TS9-RIPE,,8
"DataPipe, Inc.",549300ZKEBX8ER0EMP39,"Datapipe, Inc.",US,ACTIVE,LAPSED,legal_exact,1.0,datapipe inc,,US,14208,DATAPI-2-ARIN,,8
Electronic Arts Inc.,549300O7A67PUEYKDL45,ELECTRONIC ARTS INC.,US,ACTIVE,ISSUED,legal_exact,1.0,electronic arts inc,,US,,ORG-EAI1-AP-APNIC,,8
Equinix (EMEA) Acquisition Enterprises B.V.,549300PYU1L7U0OHTS42,Equinix (EMEA) Acquisition Enterprises B.V.,NL;US,ACTIVE,LAPSED,legal_exact,1.0,equinix acquisition enterprises b v,,NL,,ORG-TP3-RIPE,,8
Ericsson Inc.,5493006V1WJAQ5DU6C50,Ericsson Inc.,US,ACTIVE,LAPSED,legal_exact,1.0,ericsson inc,,US,,ERICSS-5-ARIN,,8
IBKR Financial Services AG,549300KKMY8XC2HPZ142,IBKR Financial Services AG,CH,ACTIVE,ISSUED,legal_exact,1.0,ibkr financial services ag,,CH,,ORG-IFSA12-RIPE;ORG-IFSA9-RIPE;ORG-THA19-RIPE,,8
ICANN,2549008HATEG8EESS568,Internet Corporation for Assigned Names and Numbers,US,ACTIVE,ISSUED,legal_exact,1.0,internet corporation for assigned names and numbers,alt_name,US,1228,ICANN-ARIN,https://www.icann.org,8
IQVIA Holdings Inc,549300W3R20NM4KQPH86,IQVIA HOLDINGS INC.,US,ACTIVE,ISSUED,legal_exact,1.0,iqvia holdings inc,,US,,IH-165-ARIN,,8
Intesa Sanpaolo S.p.A.,724500ZM62VN7JH6K383,Intesa Sanpaolo S.p.A.,IT;NL,ACTIVE,ISSUED,legal_exact,1.0,intesa sanpaolo s p a,,IT,,ORG-BFS1-RIPE,,8
Iver Sverige AB,254900MXJ3DLXHZPE910,Iver Sverige AB,SE,ACTIVE,LAPSED,legal_exact,1.0,iver sverige ab,,SE,36938,ORG-DSA2-RIPE;ORG-SPA56-RIPE,,8
Macquarie Technology Operations Pty Limited,254900LC5NTCQ9WLR154,MACQUARIE TECHNOLOGY OPERATIONS PTY LIMITED,AU,ACTIVE,ISSUED,legal_exact,1.0,macquarie technology operations pty limited,,AU,,ORG-MCT1-AP-APNIC,,8
"Marriott International, Inc.",225YDZ14ZO8E1TXUSU86,"MARRIOTT INTERNATIONAL, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,marriott international inc,,US,,MI-1478-ARIN,,8
Mercury NZ Limited,254900XLT925U953KK55,Mercury NZ Limited,NZ,ACTIVE,LAPSED,legal_exact,1.0,mercury nz limited,,NZ,,ORG-MNL16-AP-APNIC,,8
Midcontinent Communications,549300ZI9GDQBS28C408,Midcontinent Communications,US,ACTIVE,LAPSED,legal_exact,1.0,midcontinent communications,,US,7191,MIDCO-1-ARIN,http://www.midco.com,8
NTT DATA INFORMATION PROCESSING SERVICES PRIVATE LIMITED,5493002LRTOQ18V4XH71,NTT DATA INFORMATION PROCESSING SERVICES PRIVATE LIMITED,IN,ACTIVE,ISSUED,legal_exact,1.0,ntt data information processing services private limited,,IN,,ORG-NDGD2-AP-APNIC,,8
National Informatics Centre Services Incorporated,3358004IXTCZBMDU6F60,NATIONAL INFORMATICS CENTRE SERVICES INCORPORATED,IN,ACTIVE,ISSUED,legal_exact,1.0,national informatics centre services incorporated,,IN,,@aut-141501-APNIC,,8
Nexon Asia Pacific Pty Ltd,5493007R7ULPFMWXKS90,NEXON ASIA PACIFIC PTY. LTD.,AU,ACTIVE,ISSUED,legal_exact,1.0,nexon asia pacific pty ltd,,AU,,ORG-NAPP1-AP-APNIC,,8
NovoServe B.V.,7245009SL94DB6U9OU54,NovoServe B.V.,NL,ACTIVE,LAPSED,legal_exact,1.0,novoserve b v,,NL,,ORG-NB80-RIPE;ORG-ZB24-RIPE,,8
Refinitiv US LLC,213800HQORQAP68CJJ04,REFINITIV US LLC,US,ACTIVE,ISSUED,legal_exact,1.0,refinitiv us llc,,US,,RUL-43-ARIN,,8
"SWAN, a.s.",097900CAKA0000016368,"SWAN, a. s.",SK,ACTIVE,ISSUED,legal_exact,1.0,swan a s,active_only,SK,12205,ORG-SPA43-RIPE,,8
Synopsys Inc.,QG7T915N9S0NY5UKNE63,"SYNOPSYS, INC.",US,ACTIVE,ISSUED,legal_exact,1.0,synopsys inc,,US,,SYNOPS-ARIN;SYNOPS-Z-ARIN,,8
T-Mobile Czech Republic a.s.,5299003ILFQKHJYNK282,T-Mobile Czech Republic a.s.,CZ,ACTIVE,ISSUED,legal_exact,1.0,t mobile czech republic a s,,CZ,17593,ORG-RA2-RIPE,,8
