iyp_org_name,iyp_countries,iyp_n_as,tier,candidates,candidate_names
Terra,,0,legal_exact_nocountry,72450065R9GD3TH6L970;969500X58LTS6RCQ4U51,Terra [ACTIVE] | TERRA [ACTIVE]
Ernst & Young,,0,legal_exact_nocountry,222100D7D98APMA9KM73;254900S1GY2HESYK2Y81,ERNST & YOUNG [ACTIVE] | Ernst & Young [ACTIVE]
OPTIMUM,,0,legal_exact_nocountry,5493004SUY89YEOQWE09;69940046UZSQJETUSF65,Optimum [ACTIVE] | Optimum [ACTIVE]
COMMUNITY INTERNET PROVIDERS LLC,US,1,legal_core,5493002YGEDDD3RDCD28;549300X3ZRS78LSYEK49,"CIP Investments (UK), LP [ACTIVE] | CIP (Change in Progress), L.P. [ACTIVE]"
SCE DEPARTEMENTAL INCENDIE ET SECOURS,FR,1,legal_exact,9695001KW4UYVSDRP570;9695005CGZYLAVVPMB61;969500I44B0P2NDNXK46;969500OPNC422BD48Z83,SCE DEPARTEMENTAL INCENDIE ET SECOURS [ACTIVE] | SCE DEPARTEMENTAL INCENDIE ET SECOURS [ACTIVE] | SCE DEPARTEMENTAL INCENDIE ET SECOURS [ACTIVE] | SCE DEPARTEMENTAL INCENDIE ET SECOURS [ACTIVE]
Mecklenburg Electric Cooperative / Empower,US,1,legal_core,549300L7JNOXBW10PN68;549300YKTME1U7Z0UN20,Empower Credit Union [ACTIVE] | Empower Federal Credit Union [ACTIVE]
AXA Versicherungen AG,CH,0,legal_exact,391200NQ044IOMPTTM17;391200ZMYCMVKZYKPS84;529900VY3W1BDS55VX90,"AXA Versicherungen AG (Insurance Ltd.) (acting on behalf of its account ""Allocated Assets"") [ACTIVE] | AXA Versicherungen AG (Insurance Ltd.) (acting on behalf of its account ""Free Assets"") [ACTIVE] | AXA Versicherungen AG [ACTIVE]"
Hewlett-Packard GmbH,,0,legal_exact_nocountry,549300B5PRENBDHYQ971;549300RSJL5C0MWVZB39,Hewlett-Packard GmbH [ACTIVE] | Hewlett-Packard (Schweiz) GmbH [ACTIVE]
"Apple Network, LLC",US,0,legal_core,254900NZCGMT6517BA94;HWUPKR0MPOU8FGXBT394,Apple Federal Credit Union [ACTIVE] | Apple Inc. [ACTIVE]
MadIX,,0,legal_exact_nocountry,9695009X85TL6AD0BU87;969500E7ZCGI20PY7075,MADIX [ACTIVE] | MADIX [ACTIVE]
Goodwill Enterprises,IN,1,legal_exact,254900L44F7VSV59P117;64885S595GNWA0PA9204,Goodwill Enterprises [ACTIVE] | GOODWILL ENTERPRISES [ACTIVE]
CIBC World Markets,CA;US,3,legal_core,549300445CON3DBMU275;549300TDJKVQJ41VN031,CIBC WORLD MARKETS CORP. [ACTIVE] | CIBC WORLD MARKETS INC. [ACTIVE]
VINCI SA,FR,1,legal_core,213800WFQ334R8UXUG83;969500DYZN35JR1VTV51;969500THDBCIUGP34Z81,VINCI [ACTIVE] | VINCI [ACTIVE] | VINCI [ACTIVE]
EXNESS (NZ) Ltd.,,1,legal_exact_nocountry,2138001IF8HLT54KA417;213800TS6IQF7NLQSP32;8945006P9TS9D3LXTE70;984500380C7D37B3T277,EXNESS (UK) LTD [ACTIVE] | EXNESS (CY) LTD [ACTIVE] | EXNESS (SC) LTD [ACTIVE] | Exness (VG) Ltd [ACTIVE]
Princeton Digital Group,SG,0,legal_core,98450080F076DBCC1561;984500B0E60B9EF4DC15,PRINCETON DIGITAL GROUP (ASIA) PRIVATE LIMITED [ACTIVE] | PRINCETON DIGITAL GROUP (SINGAPORE ALPHA) PTE. LIMITED [ACTIVE]
Work Banda Larga,BR,1,legal_core,2549002Q975WTSWW7J47;254900AV3346DNWNXE97,Work Ltda [ACTIVE] | Work Limited [ACTIVE]
CentriLogic,CA,2,legal_core,254900VVGVKAINU07U25;5493004WWDJOO4J8HG11,CENTRILOGIC (2011) INC. [ACTIVE] | Centrilogic Inc. [ACTIVE]
Dimensione,IT,1,legal_core,815600889F4B9586F990;815600ACD6F46B726B83,DIMENSIONE - S.P.A. [ACTIVE] | DIMENSIONE S.R.L. [ACTIVE]
Helix,,0,legal_exact_nocountry,5299003ETIDEGU5GC874;699400TSOCO3EHFX6N66;969500IMRWVREJ7OL402,HELIX [ACTIVE] | Helix [ACTIVE] | HÉLIX [ACTIVE]
Discovery Communications,US,2,legal_core,254900QPM17RWZE8SL15;L2Z2MO2EQURH3BREWI15,"DISCOVERY COMMUNICATIONS, LTD., L.L.C. [ACTIVE] | DISCOVERY COMMUNICATIONS, LLC [ACTIVE]"
UBS AG,CH;US,5,legal_exact,254900R882POXXVAK772;BFM8T61CT2L1QCEMIK50,UBS AG [ACTIVE] | UBS AG [ACTIVE]
E,IT,0,legal_core,529900ABQD1G2QDDO318;815600092720F15A8449;8156001EA473CC6B1047;81560023C4D166279A19;81560028F9B1A1B91480;8156004AAC0BA4DE3388;8156005A7445165D5246;815600672F7FDEDD3A24;81560090FBB9EF45C244;815600A65611A5113423;815600BA834BAD35A453;815600CA9B5645AA7A91;815600DA1E04C2798A34;815600F2669DCCE14543;815600F66B5A03796677;815600F8000CD0A7EF73;89450054GCAIWS88SU46;984500A4B9XAA0E66A21,E.F.P. S.R.L. [ACTIVE] | E.C.S. S.R.L. [ACTIVE] | E.P.S. - S.R.L. [ACTIVE] | E&C S.R.L. [ACTIVE] | E- DA S.R.L. [ACTIVE] | E.F.P. S.R.L. [ACTIVE] | E.CO. S.R.L. [ACTIVE] | E.C.S. - S.R.L. [ACTIVE] | E.C.S. S.R.L. [ACTIVE] | E++ S.R.L. [ACTIVE] | E.O.S. S.P.A. [ACTIVE] | E A S S.P.A. [ACTIVE] | E.L.C. S.R.L. [ACTIVE] | E.C.A. S.P.A. [ACTIVE] | E.S.A. SRL [ACTIVE] | E.A.S. S.P.A. [ACTIVE] | E.C.B. SRL [ACTIVE] | E.L.C. S.R.L. [ACTIVE]
Accenture,,0,legal_exact_nocountry,5493002OB4JCY0EO1N91;969500U4NM8KW61RVN48,ACCENTURE [ACTIVE] | ACCENTURE [ACTIVE]
Computacenter (UK) Ltd,GB,1,legal_core,213800GOJRCFL3KB3U80;549300XSXUZ1I19DB105,COMPUTACENTER (UK) LIMITED [ACTIVE] | COMPUTACENTER PLC [ACTIVE]
OVHcloud,FR,1,other_name_exact,9695001J8OSOVX4TP939;9695007586GCAKPYJ703,OVH GROUPE [ACTIVE] | OVH [ACTIVE]
NET NV LLC,US,1,legal_core,254900Z5C05S3KOT2M12;549300FV32ULL0DL8X39,"Net, Inc. [ACTIVE] | NET [ACTIVE]"
ING Bank N.V.,NL,8,legal_exact,3TK20IVIUJ8J3ZU0QE75;984500849A50A6B1B484,ING BANK N.V. [ACTIVE] | ING BANK N.V. [ACTIVE]
trivago N.V.,DE;NL,4,legal_exact,391200MJ56OU7D3JM080;529900HUKSPVYRFJSH86,trivago N.V. [ACTIVE] | trivago N.V. [ACTIVE]
CHL,US,1,legal_core,549300CKFHML8OR0OP89;549300EQZ30CEMSMD888,"CHL, LTD. [ACTIVE] | CHL INVESTMENTS, LLC [ACTIVE]"
PRIMA,,0,legal_exact_nocountry,529900NI3S36BQT5N664;89450056XC9SY52CUM80;9695000AHM7GQ92ZBO70;969500U8CFDDV6ZSMP18,PRIMA [ACTIVE] | PRIMA [ACTIVE] | PRIMA [ACTIVE] | PRIMA [ACTIVE]
"Citadel Investment Group, L.L.C.",US,1,fuzzy,254900YGLRI5LX1DVN73,CITADEL GP LLC [ACTIVE]
Volt,,0,legal_exact_nocountry,969500J6DBYFBNXDSL93;969500QKJ4GGEOTVY565,VOLT [ACTIVE] | VOLT [ACTIVE]
Claranet,GB,1,legal_core,213800QQ1EHKVC5ATG85;636700X36UM8OJWF4811,CLARANET FINANCE LIMITED [ACTIVE] | CLARANET LIMITED [ACTIVE]
Swisscom (Switzerland) Ltd,CH,1,other_name_exact,5493005SL9HHOXS3B739;549300JLQCS5OYYYFS40,Swisscom AG [ACTIVE] | Swisscom (Schweiz) AG [ACTIVE]
Freedom Internet B.V.,NL,1,legal_core,724500GRCI6HG7AKBE48;724500LPKUR45ZUYRU26,Freedom Investments B.V. [ACTIVE] | Freedom B.V. [ACTIVE]
Reach,,0,legal_exact_nocountry,9695004SPCZOP160RX03;9695005X53GV68BPU864;969500FW4WUSSE3IP544,REACH [ACTIVE] | REACH [ACTIVE] | REACH [ACTIVE]
OPS,FR,0,legal_exact,8945008DXZGAT8K6MK77;969500258SZNSUC0L317;969500V2067XWVHWOS96;969500WPRBINUH0FE626,OPS [ACTIVE] | OPS [ACTIVE] | OPS [ACTIVE] | OPS [ACTIVE]
First Citizens Bank,,0,legal_exact_nocountry,549300VGKMMSJEW8TW22;549300ZX7CMZ93QCZQ91,First Citizens Bank [ACTIVE] | First Citizens Bank [ACTIVE]
Nasstar,GB,1,legal_core,213800464LOG9B2Q8J17;213800U3GGWPM9EGBQ96,NASSTAR PLC [ACTIVE] | NASSTAR LIMITED [ACTIVE]
NEW SRL,IT,1,legal_core,529900AGDFGWDHWJ8W28;8156001A19682AF7FE90;8156001D24DD5F279581;8156008C02656211B003;815600A85F05584B4726;8945003APS0P5DVTZJ68;894500BS1AP47TOEX710;98450056CDB047FFEA97,NEW S.R.L. [ACTIVE] | NEW FOR SRL [ACTIVE] | NEW.CO. S.R.L. [ACTIVE] | NEW INVESTMENTS S.R.L. [ACTIVE] | NEW COMPANY S.R.L. [ACTIVE] | New! S.R.L. [ACTIVE] | NEW SAE SRL [ACTIVE] | NEW COMPANY SRL [ACTIVE]
SYNAPSE,,1,legal_exact_nocountry,969500BA5XXAVCV23D41;969500ESR1YGS651PM80;969500WN19CHZWHP5798,SYNAPSE [ACTIVE] | SYNAPSE [ACTIVE] | SYNAPSE [ACTIVE]
"Bank of America, National Association",US,15,legal_exact,254900UJSGYIL5JU7B49;B4TYDEB6GKMZO031MB27,"Bank of America National Association [ACTIVE] | Bank Of America, National Association [ACTIVE]"
Gamma,,1,legal_exact_nocountry,969500DZD7V0KOTU8S57;969500F8FLIB1O1SGZ40;969500ISQENHBQYEAE79;969500S458MX5EVCDU06,GAMMA [ACTIVE] | GAMMA [ACTIVE] | GAMMA [ACTIVE] | GAMMA [ACTIVE]
University of Kentucky,US,1,legal_exact,549300CXE3YQ1HXYCQ71;549300V5YG1VXZAU5G02,University of Kentucky [ACTIVE] | UNIVERSITY OF KENTUCKY [ACTIVE]
NEMO S.r.l.,IT,1,legal_exact,815600072932307A2F26;8156007609350E9A5F20;815600BCE66014B1DC13;894500G9VBZZYX1L7245,NEMO S.R.L. [ACTIVE] | NEMO S.R.L. [ACTIVE] | NEMO S.R.L. [ACTIVE] | NEMO S.R.L. [ACTIVE]
Tata Teleservices Ltd,IN,2,legal_core,3358003IB42VST99EI84;3358003M4YQ5CPJTVD89,TATA TELESERVICES (MAHARASHTRA) LIMITED [ACTIVE] | TATA TELESERVICES LIMITED [ACTIVE]
Arya S.r.l.,IT,1,legal_core,5299001774W0UVV35T18;8156002C3F49B40ADA26,ARYA SRL [ACTIVE] | ARYA SRL [ACTIVE]
Telehouse International Corporation of Europe Ltd,GB,1,legal_exact,213800ERURZESHXL6Y35;984500R6D4WJFBDBQA82,TELEHOUSE INTERNATIONAL CORPORATION OF EUROPE LTD [ACTIVE] | TELEHOUSE INTERNATIONAL CORPORATION OF EUROPE LTD [ACTIVE]
Upp Corporation Limited,GB,1,legal_core,2138001KCLCGLT8WT658;2138006LFGSUEP5B2A40;2138008IZR8A65R16987;2138009GW5GOAKPJHQ76;2138009UKAFXQYLTCT48;213800D6RJMP9BVIH421;213800FVYNC9N9RVOC18;213800VFAFKPXASFXU97;213800W41D5HE6Y6F589;213800WFSCG8COWXH764;213800ZIOYMXA3QLKC88,UPP (OXFORD BROOKES) LIMITED [ACTIVE] | UPP (PLYMOUTH THREE) LIMITED [ACTIVE] | UPP (KENT STUDENT ACCOMMODATION II) LIMITED [ACTIVE] | UPP (EXETER) LIMITED [ACTIVE] | UPP (ALCUIN) LIMITED [ACTIVE] | UPP (NOTTINGHAM) LTD [ACTIVE] | UPP (BYRON HOUSE) LIMITED [ACTIVE] | UPP (LOUGHBOROUGH STUDENT ACCOMMODATION) LIMITED [ACTIVE] | UPP (CLIFTON) LIMITED [ACTIVE] | UPP (KENT STUDENT ACCOMMODATION) LIMITED [ACTIVE] | UPP (LANCASTER) LIMITED [ACTIVE]
Deutsche Bank AG,DE;IN;US,8,legal_core,391200PCHLV827FDCB76;529900IH9V4I3VHQVO92;7LTWFZYICNSX8D621K86,Deutsche Bank Stiftung [ACTIVE] | Deutsche Bank Aktiengesellschaft [ACTIVE] | DEUTSCHE BANK AKTIENGESELLSCHAFT [ACTIVE]
